image_path,video_id,label,category
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/946/frame_000144.jpg,mini_946,0.0,YouTube-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/199/frame_000288.jpg,mini_199,0.0,Celeb-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/320/frame_000464.jpg,mini_320,0.0,YouTube-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/326/frame_000658.jpg,mini_326,0.0,Celeb-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/738/frame_000215.jpg,mini_738,0.0,YouTube-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/226/frame_000168.jpg,mini_226,0.0,Celeb-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/542/frame_000100.jpg,mini_542,0.0,YouTube-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/362/frame_000066.jpg,mini_362,0.0,Celeb-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/512/frame_000565.jpg,mini_512,0.0,YouTube-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/757/frame_000331.jpg,mini_757,0.0,Celeb-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/481/frame_000199.jpg,mini_481,0.0,YouTube-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/321/frame_000445.jpg,mini_321,0.0,Celeb-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/310/frame_000230.jpg,mini_310,0.0,YouTube-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/137/frame_000189.jpg,mini_137,0.0,Celeb-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/390/frame_000087.jpg,mini_390,0.0,YouTube-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/198/frame_000346.jpg,mini_198,0.0,Celeb-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/926/frame_000238.jpg,mini_926,0.0,YouTube-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/530/frame_000296.jpg,mini_530,0.0,Celeb-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/939/frame_000367.jpg,mini_939,0.0,YouTube-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/139/frame_000220.jpg,mini_139,0.0,Celeb-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/636/frame_000172.jpg,mini_636,0.0,YouTube-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/155/frame_000625.jpg,mini_155,0.0,Celeb-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/657/frame_000152.jpg,mini_657,0.0,YouTube-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/876/frame_000109.jpg,mini_876,0.0,Celeb-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/135/frame_000135.jpg,mini_135,0.0,YouTube-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/785/frame_000282.jpg,mini_785,0.0,Celeb-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/746/frame_000370.jpg,mini_746,0.0,YouTube-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/141/frame_000142.jpg,mini_141,0.0,Celeb-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/736/frame_000338.jpg,mini_736,0.0,YouTube-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/490/frame_000435.jpg,mini_490,0.0,Celeb-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/085/frame_000224.jpg,mini_085,0.0,YouTube-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/870/frame_000270.jpg,mini_870,0.0,Celeb-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/239/frame_000223.jpg,mini_239,0.0,YouTube-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/743/frame_000294.jpg,mini_743,0.0,Celeb-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/661/frame_000056.jpg,mini_661,0.0,YouTube-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/001/frame_000159.jpg,mini_001,0.0,Celeb-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/845/frame_000076.jpg,mini_845,0.0,YouTube-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/709/frame_000224.jpg,mini_709,0.0,Celeb-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/523/frame_000005.jpg,mini_523,0.0,YouTube-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/106/frame_000350.jpg,mini_106,0.0,Celeb-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/850/frame_000025.jpg,mini_850,0.0,YouTube-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/398/frame_000359.jpg,mini_398,0.0,Celeb-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/820/frame_000005.jpg,mini_820,0.0,YouTube-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/491/frame_000148.jpg,mini_491,0.0,Celeb-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/574/frame_000312.jpg,mini_574,0.0,YouTube-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/668/frame_000165.jpg,mini_668,0.0,Celeb-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/187/frame_000072.jpg,mini_187,0.0,YouTube-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/714/frame_000137.jpg,mini_714,0.0,Celeb-real
/home/utn/uzis83et/CV/deepfake_robustness/processed_faces/ffpp_c23/original/100/frame_000388.jpg,mini_100,0.0,YouTube-real
